n,residue_mod_16,alpha,separation_index,arc_vertices,complement_vertices,arc_bulk_cells,lambda_1,lambda_2,lambda_1_squared,lambda_2_squared,rho_squared,mean_interface_level_squared,level_splitting_squared,mean_gap_from_c6
92,12,-1,4,22,70,4,2.8118025855486537,2.8114448221829047,7.906233780098094,7.9042219881790645,7.925652984536919,7.905227884138579,0.0020117919190294486,-0.00014142748174794662
92,12,1,4,22,70,4,2.811818022562898,2.8114278179708614,7.906320592009526,7.9041263756603986,7.92565883923614,7.905223483834963,0.0021942163491273092,-0.00014582778536453844
92,12,-1,5,26,66,5,2.8124280401447543,2.8107213621964093,7.909751480992464,7.900154575907239,7.909751480992464,7.904953028449851,0.009596905085224705,-0.00041628317047592844
92,12,1,5,26,66,5,2.8124363573445397,2.8107094441852873,7.909798264113423,7.900087579632367,7.909798264113426,7.904942921872895,0.009710684481055942,-0.0004263897474325873
92,12,-1,6,30,62,6,2.8117720812217186,2.8115178001654164,7.906062236737915,7.904632340646982,7.913042859528712,7.9053472886924485,0.001429896090932914,-2.2022927878673215e-05
92,12,1,6,30,62,6,2.811816531202176,2.8114703228527698,7.906312205141837,7.9043653762818575,7.913068166100693,7.905338790711847,0.0019468288599790995,-3.052090848054689e-05
92,12,-1,7,34,58,7,2.811938274705044,2.8113369812432003,7.90699686075118,7.90361562210563,7.90699686075118,7.905306241428406,0.0033812386455496224,-6.307019192153263e-05
92,12,1,7,34,58,7,2.8119643895211275,2.811307252085134,7.907143727934927,7.903448465626466,7.907143727934927,7.905296096780697,0.003695262308460734,-7.32148396300758e-05
92,12,-1,8,38,54,8,2.8116507971485842,2.8116458664407493,7.905380205106269,7.905352478273352,7.9081674668377016,7.905366341689811,2.7726832916741273e-05,-2.969930516627528e-06
92,12,1,8,38,54,8,2.811775036696845,2.8115181594296508,7.906078856991544,7.904634360802691,7.908252206632661,7.905356608897118,0.001444496188852895,-1.2702723209301325e-05
92,12,-1,9,42,50,9,2.8117201891918158,2.811575102510342,7.90577042230886,7.9049545570560396,7.90577042230886,7.9053624896824495,0.0008158652528207355,-6.821937877710127e-06
92,12,1,9,42,50,9,2.8117974772133967,2.811494183747099,7.906205052863622,7.904499545243767,7.906205052863622,7.905352299053694,0.0017055076198548846,-1.701256663277917e-05
92,12,-1,10,46,46,10,2.8118085151194845,2.8114819166232397,7.90626712569844,7.904430567499485,7.90626712569844,7.9053488465989625,0.0018365581989545632,-2.0465021364657332e-05
92,12,1,10,46,46,10,2.8118534877878814,2.8114333377144822,7.906520036784873,7.904157412412394,7.906520036784873,7.905338724598634,0.0023626243724796936,-3.058702169322913e-05
